Collections,Sales,Buyers,Txns,Owners
Purrnelopes Country Club,"$23,135,033","2,439","8,918","3,170"
The Wicked Craniums,"$23,113,405","7,585","21,621","4,666"
Nifty League DEGENs,"$22,971,855","4,981","12,934","3,293"
Frakt,"$22,885,607","4,514","12,693","1,244"
Cupcats Official,"$22,744,414","3,424","9,036","1,805"
The Vogu Collective,"$22,333,356","4,501","11,568","2,853"
The Currency,"$22,166,989",404,"3,457","5,584"
The Other Side,"$22,114,916","11,694","16,522",
Voxies,"$21,791,624","1,938","6,721","1,747"
Stoner Cats,"$21,459,992","5,385","9,809","5,063"
Habbo Avatars,"$20,979,917","5,023","11,307","4,331"
Ethereum Name Service,"$20,883,340","6,606","11,590","301,117"
Bastard Gan Punks V2,"$20,843,107","3,458","11,023","2,894"
FoxFam,"$20,820,712","6,633","15,934","3,529"
Space Punks Club,"$20,508,120","6,001","13,466","4,392"
Sipherian Surge,"$20,502,204","5,861","13,904","3,754"
Crypto Unicorns,"$20,351,202","2,469","9,088",
FOMO MOFOS,"$20,324,660","5,883","11,693",
Gods Unchained,"$20,279,961","3,574","386,360","15,249"
Deafbeef,"$20,248,370",98,142,112
Fishy Fam,"$20,156,126","8,440","14,515",
DystoPunks V2,"$20,102,582","1,281","3,048",681
CryptoonGoonz,"$20,014,754","6,312","11,192","4,025"
hic et nunc,"$19,706,893","42,167","1,130,009","31,529"
Solsteads,"$19,640,415","2,359","4,197","1,517"
Divine Anarchy,"$19,373,961","7,691","14,714",
FrankenPunks,"$19,015,775","7,246","12,626",
CryptoArte,"$18,743,186","4,589","10,586","3,501"
R Planet,"$18,432,789","12,513","117,273","13,254"
Jadu Hoverboard,"$18,186,392","6,276","9,173",
Monkey Bet DAO,"$18,134,656","6,913","14,765","3,988"
The Yakuza Cats Society,"$17,957,124","6,289","15,049","3,506"
Incognito,"$17,761,278","5,387","16,410","3,248"
Mike Tyson NFT,"$17,636,701",770,"1,437",322
BYOPills,"$17,522,648","5,365","12,951","3,344"
Gutter Rats,"$17,081,024","2,328","4,149",
Topps MLB,"$16,676,482","16,749","609,511","35,606"
Lonely Alien Space Club,"$16,561,149","5,404","14,082","4,006"
WVRPS by Warpsound,"$16,399,760","6,402","13,493",
Illuminati,"$16,246,700","5,495","10,414",
Terraforms,"$16,176,478","3,657","9,770",
Starcatchers,"$16,081,445","4,755","8,430",
Infinity Labs,"$16,058,229","4,141","11,901","2,972"
HOWLERZ,"$15,947,075","2,792","5,863",
The Doggies,"$15,623,907","4,207","7,420",
Space Runners,"$15,297,750","2,032","8,619","5,202"
Kitty Crypto Gang,"$15,177,013","5,635","10,606",
Waves Ducks,"$15,111,777","1,688","11,856","1,355"
The Official Surreals,"$14,990,980","6,689","13,073","5,070"
Apes In Space,"$14,832,859","9,961","13,748",
Avid Lines,"$14,794,080",286,510,261
World Poker Tour,"$14,731,951","1,176","6,973","1,663"
Dapper Dinos NFT,"$14,729,490","5,386","11,891","4,271"
Catalina Whale Mixer,"$14,588,593","4,652","10,134","2,305"
8SIAN,"$14,554,566","7,780","13,439",
LinksDAO,"$14,508,067","4,590","6,589","5,316"
Monkey Kingdom,"$14,495,626","1,653","3,686","1,025"
Jenkins the Valet The Writers Room,"$14,373,609","4,421","9,443","2,842"
BYOLand,"$14,323,759","3,288","6,261",
The Wanderers,"$14,276,309","6,512","13,362","4,243"
Rogue Sharks,"$14,185,029","7,242","17,451","6,245"
Bulls On The Block,"$14,131,707","6,810","19,716","4,831"
BrainDrops,"$13,934,069","2,283","6,505","2,286"
Fat Ape Club,"$13,830,562","4,364","7,275","5,382"
uwucrew,"$13,799,498","6,960","15,404",
Undead Pastel Club,"$13,641,689","8,118","12,782",
Crypto Cannabis Club,"$13,546,469","5,542","12,728","4,432"
Clementines Nightmare,"$13,503,272","7,039","9,110",
Dead Heads,"$13,411,373","5,104","15,068","3,422"
SoulZ Monogatari,"$13,166,630","9,033","14,784",
PUNKS Comics 2,"$13,140,055","6,344","9,452","6,768"
StackedToadz,"$13,036,846","2,203","4,718","1,373"
